0.0025 	0.095 	0.005 	-2.57157
0.0075 	0.095 	0.005 	-1.60192
0.0125 	0.095 	0.005 	-1.04347
0.0175 	0.095 	0.005 	-0.714826
0.0225 	0.095 	0.005 	-0.497796
0.0275 	0.095 	0.005 	-0.353384
0.0325 	0.095 	0.005 	-0.255527
0.0375 	0.095 	0.005 	-0.184281
0.0425 	0.095 	0.005 	-0.126593
0.0475 	0.095 	0.005 	-0.0737819
0.0525 	0.095 	0.005 	-0.0192081
0.0575 	0.095 	0.005 	0.0430662
0.0625 	0.095 	0.005 	0.119764
0.0675 	0.095 	0.005 	0.219653
0.0725 	0.095 	0.005 	0.356005
0.0775 	0.095 	0.005 	0.549823
0.0825 	0.095 	0.005 	0.829813
0.0875 	0.095 	0.005 	1.23507
0.0925 	0.095 	0.005 	1.88111
0.0975 	0.095 	0.005 	2.95926
